date,Frankfurt,Mainz,Kaub,Andernach,Cologne,Rees
1951,-9,4250,4480,6080,6490,6830
1952,-9,4490,4610,6970,7110,7340
1953,-9,4270,4380,7300,7610,7970
1954,-9,2850,2910,3440,3620,3840
1955,-9,5940,6050,9460,9460,9500
1956,-9,5000,5150,7140,7270,7540
1957,-9,4500,4520,6650,6750,6950
1958,-9,5020,5260,8480,8600,9080
1959,-9,3050,3180,4950,5100,5420
1960,-9,2560,2660,3310,3400,3550
1961,-9,2940,3220,5000,5250,5840
1962,-9,3460,3620,5270,5460,5880
1963,-9,2360,2550,3300,3540,3820
1964,432,2780,3090,5160,5480,5510
1965,913,4430,4460,5890,6130,6350
1966,967,4430,4560,6960,7410,7720
1967,962,3950,4240,6920,7290,7570
1968,1100,4130,4280,6970,7160,7520
1969,797,3370,3540,5130,5270,5340
1970,1760,6630,6670,9990,9690,9900
1971,440,2410,2510,3220,3520,3810
1972,292,2100,2040,2220,2270,2330
1973,347,3680,3690,5220,5380,5290
1974,470,2940,2910,3880,4050,4260
1975,834,3740,3740,5440,5750,6190
1976,447,2150,2180,3100,3270,3560
1977,619,4120,4320,6460,6680,6560
1978,540,5110,5310,6200,6340,6330
1979,882,4490,4600,6580,6730,6900
1980,1240,5470,5630,8450,8800,8760
1981,1160,4490,4553,6271,6130,6500
1982,1490,5480,5600,7793,7967,7787
1983,890,5770,6090,9570,9801,9868
1984,1230,4520,4880,7980,8433,8502
1985,548,3040,3230,4420,4880,4780
1986,795,3850,3980,5860,5890,6210
1987,1280,4670,4870,6960,7130,7590
1988,1760,6920,7160,9250,9550,10200
1989,723,3480,3680,5420,5300,5480
1990,830,4820,5130,7450,7250,6970
1991,673,3400,3710,6190,6190,6590
1992,489,3750,3930,5230,5210,5440
1993,500,3640,3780,5400,5480,5810
1994,1220,5490,6310,10400,10600,10600
1995,1990,5900,6520,10100,10700,11300
1996,669,3760,3860,4480,4280,4250
1997,914,4120,4210,6960,7080,6970
1998,1060,4720,4790,6910,6700,6150
1999,1420,5480,5730,8160,8530,9240
2000,625,3750,3900,6390,6370,6550
2001,1140,5420,5710,8320,8410,8410
2002,1170,4950,5140,7260,7240,7940
2003,1800,5090,5350,8620,8840,9470
2004,197,1150,1190,1470,1580,1810
